cell model:,,,,,,,,,,,,,,,,
cell id: ,,,,,,,,,,,,,,,,
test: ,,,,,,,,,,,,,,,,
checkpoint: ,,,,,,,,,,,,,,,,
Nominal capacity used to define the C rate:Ah,,,,,,,,,,,,,,,,
Nominal energy used to define the E rate: Wh,,,,,,,,,,,,,,,,
channel_index,cycle_index,step_index,date_time_iso_string,test_time_s,step_time_s,current_A,voltage_V,discharge_capacity_Ah,charge_capacity_Ah,discharge_energy_Wh,charge_energy_Wh,Pressure_Psi,temperature_1_C,temperature_2_C,temperature_3_C,step_name
1,1,1,04/30/2024 14:33:19,0.020,0.020,0.0000,2.9215,0,0,0,0,0,0,0,0,rest,
2,1,1,04/30/2024 14:33:34,15.020,15.020,0.0000,2.9215,0,0,0,0,0,0,0,0,rest,
3,1,1,04/30/2024 14:33:49,30.020,30.020,0.0000,2.9214,0,0,0,0,0,0,0,0,rest,
4,1,1,04/30/2024 14:34:04,45.020,45.020,0.0000,2.9214,0,0,0,0,0,0,0,0,rest,
5,1,1,04/30/2024 14:34:19,60.020,60.020,0.0000,2.9213,0,0,0,0,0,0,0,0,rest,
6,1,1,04/30/2024 14:34:34,75.020,75.020,0.0000,2.9213,0,0,0,0,0,0,0,0,rest,
7,1,1,04/30/2024 14:34:49,90.020,90.020,0.0000,2.9212,0,0,0,0,0,0,0,0,rest,
8,1,1,04/30/2024 14:35:04,105.020,105.020,0.0000,2.9211,0,0,0,0,0,0,0,0,rest,
9,1,1,04/30/2024 14:35:19,120.020,120.020,0.0000,2.9210,0,0,0,0,0,0,0,0,rest,
10,1,1,04/30/2024 14:35:34,135.020,135.020,0.0000,2.9210,0,0,0,0,0,0,0,0,rest,
11,1,1,04/30/2024 14:35:49,150.020,150.020,0.0000,2.9209,0,0,0,0,0,0,0,0,rest,
12,1,1,04/30/2024 14:36:04,165.020,165.020,0.0000,2.9208,0,0,0,0,0,0,0,0,rest,
13,1,1,04/30/2024 14:36:19,180.020,180.020,0.0000,2.9207,0,0,0,0,0,0,0,0,rest,
14,1,1,04/30/2024 14:36:34,195.020,195.020,0.0000,2.9207,0,0,0,0,0,0,0,0,rest,
15,1,1,04/30/2024 14:36:49,210.020,210.020,0.0000,2.9206,0,0,0,0,0,0,0,0,rest,
16,1,1,04/30/2024 14:37:04,225.020,225.020,0.0000,2.9205,0,0,0,0,0,0,0,0,rest,
17,1,1,04/30/2024 14:37:19,240.020,240.020,0.0000,2.9204,0,0,0,0,0,0,0,0,rest,
18,1,1,04/30/2024 14:37:34,255.020,255.020,0.0000,2.9203,0,0,0,0,0,0,0,0,rest,
19,1,1,04/30/2024 14:37:49,270.020,270.020,0.0000,2.9203,0,0,0,0,0,0,0,0,rest,
20,1,1,04/30/2024 14:38:04,285.020,285.020,0.0000,2.9202,0,0,0,0,0,0,0,0,rest,
21,1,1,04/30/2024 14:38:19,300.020,300.020,0.0000,2.9201,0,0,0,0,0,0,0,0,rest,
22,1,1,04/30/2024 14:38:34,315.020,315.020,0.0000,2.9200,0,0,0,0,0,0,0,0,rest,
23,1,1,04/30/2024 14:38:49,330.020,330.020,0.0000,2.9199,0,0,0,0,0,0,0,0,rest,
24,1,1,04/30/2024 14:39:04,345.020,345.020,0.0000,2.9198,0,0,0,0,0,0,0,0,rest,
25,1,1,04/30/2024 14:39:19,360.020,360.020,0.0000,2.9197,0,0,0,0,0,0,0,0,rest,
26,1,1,04/30/2024 14:39:34,375.020,375.020,0.0000,2.9196,0,0,0,0,0,0,0,0,rest,
27,1,1,04/30/2024 14:39:49,390.020,390.020,0.0000,2.9195,0,0,0,0,0,0,0,0,rest,
28,1,1,04/30/2024 14:40:04,405.020,405.020,0.0000,2.9194,0,0,0,0,0,0,0,0,rest,
29,1,1,04/30/2024 14:40:19,420.020,420.020,0.0000,2.9194,0,0,0,0,0,0,0,0,rest,
30,1,1,04/30/2024 14:40:34,435.020,435.020,0.0000,2.9192,0,0,0,0,0,0,0,0,rest,
31,1,1,04/30/2024 14:40:49,450.020,450.020,0.0000,2.9192,0,0,0,0,0,0,0,0,rest,
32,1,1,04/30/2024 14:41:04,465.020,465.020,0.0000,2.9190,0,0,0,0,0,0,0,0,rest,
33,1,1,04/30/2024 14:41:19,480.020,480.020,0.0000,2.9189,0,0,0,0,0,0,0,0,rest,
34,1,1,04/30/2024 14:41:34,495.020,495.020,0.0000,2.9188,0,0,0,0,0,0,0,0,rest,
35,1,1,04/30/2024 14:41:49,510.020,510.020,0.0000,2.9187,0,0,0,0,0,0,0,0,rest,
36,1,1,04/30/2024 14:42:04,525.020,525.020,0.0000,2.9186,0,0,0,0,0,0,0,0,rest,
37,1,1,04/30/2024 14:42:19,540.020,540.020,0.0000,2.9185,0,0,0,0,0,0,0,0,rest,
38,1,1,04/30/2024 14:42:34,555.020,555.020,0.0000,2.9184,0,0,0,0,0,0,0,0,rest,
39,1,1,04/30/2024 14:42:49,570.020,570.020,0.0000,2.9183,0,0,0,0,0,0,0,0,rest,
40,1,1,04/30/2024 14:43:04,585.020,585.020,0.0000,2.9182,0,0,0,0,0,0,0,0,rest,
41,1,1,04/30/2024 14:43:19,600.020,600.020,0.0000,2.9181,0,0,0,0,0,0,0,0,rest,
42,1,1,04/30/2024 14:43:34,615.020,615.020,0.0000,2.9180,0,0,0,0,0,0,0,0,rest,
43,1,1,04/30/2024 14:43:49,630.020,630.020,0.0000,2.9179,0,0,0,0,0,0,0,0,rest,
44,1,1,04/30/2024 14:44:04,645.020,645.020,0.0000,2.9178,0,0,0,0,0,0,0,0,rest,
45,1,1,04/30/2024 14:44:19,660.020,660.020,0.0000,2.9176,0,0,0,0,0,0,0,0,rest,
46,1,1,04/30/2024 14:44:34,675.020,675.020,0.0000,2.9175,0,0,0,0,0,0,0,0,rest,
47,1,1,04/30/2024 14:44:49,690.020,690.020,0.0000,2.9174,0,0,0,0,0,0,0,0,rest,
48,1,1,04/30/2024 14:45:04,705.020,705.020,0.0000,2.9173,0,0,0,0,0,0,0,0,rest,
49,1,1,04/30/2024 14:45:19,720.020,720.020,0.0000,2.9172,0,0,0,0,0,0,0,0,rest,
50,1,1,04/30/2024 14:45:34,735.020,735.020,0.0000,2.9171,0,0,0,0,0,0,0,0,rest,
51,1,1,04/30/2024 14:45:49,750.020,750.020,0.0000,2.9169,0,0,0,0,0,0,0,0,rest,
52,1,1,04/30/2024 14:46:04,765.020,765.020,0.0000,2.9168,0,0,0,0,0,0,0,0,rest,
53,1,1,04/30/2024 14:46:19,780.020,780.020,0.0000,2.9167,0,0,0,0,0,0,0,0,rest,
54,1,1,04/30/2024 14:46:34,795.020,795.020,0.0000,2.9166,0,0,0,0,0,0,0,0,rest,
55,1,1,04/30/2024 14:46:49,810.020,810.020,0.0000,2.9164,0,0,0,0,0,0,0,0,rest,
56,1,1,04/30/2024 14:47:04,825.020,825.020,0.0000,2.9163,0,0,0,0,0,0,0,0,rest,
57,1,1,04/30/2024 14:47:19,840.020,840.020,0.0000,2.9162,0,0,0,0,0,0,0,0,rest,
58,1,1,04/30/2024 14:47:34,855.020,855.020,0.0000,2.9161,0,0,0,0,0,0,0,0,rest,
59,1,1,04/30/2024 14:47:49,870.020,870.020,0.0000,2.9159,0,0,0,0,0,0,0,0,rest,
60,1,1,04/30/2024 14:48:04,885.020,885.020,0.0000,2.9158,0,0,0,0,0,0,0,0,rest,
61,1,1,04/30/2024 14:48:19,900.020,900.020,0.0000,2.9157,0,0,0,0,0,0,0,0,rest,
62,1,1,04/30/2024 14:48:34,915.020,915.020,0.0000,2.9156,0,0,0,0,0,0,0,0,rest,
63,1,1,04/30/2024 14:48:49,930.020,930.020,0.0000,2.9154,0,0,0,0,0,0,0,0,rest,
64,1,1,04/30/2024 14:49:04,945.020,945.020,0.0000,2.9153,0,0,0,0,0,0,0,0,rest,
65,1,1,04/30/2024 14:49:19,960.020,960.020,0.0000,2.9152,0,0,0,0,0,0,0,0,rest,
66,1,1,04/30/2024 14:49:34,975.020,975.020,0.0000,2.9150,0,0,0,0,0,0,0,0,rest,
67,1,1,04/30/2024 14:49:49,990.020,990.020,0.0000,2.9149,0,0,0,0,0,0,0,0,rest,
68,1,1,04/30/2024 14:50:04,1005.020,1005.020,0.0000,2.9148,0,0,0,0,0,0,0,0,rest,
69,1,1,04/30/2024 14:50:19,1020.020,1020.020,0.0000,2.9146,0,0,0,0,0,0,0,0,rest,
70,1,1,04/30/2024 14:50:34,1035.020,1035.020,0.0000,2.9145,0,0,0,0,0,0,0,0,rest,
71,1,1,04/30/2024 14:50:49,1050.020,1050.020,0.0000,2.9144,0,0,0,0,0,0,0,0,rest,
72,1,1,04/30/2024 14:51:04,1065.020,1065.020,0.0000,2.9142,0,0,0,0,0,0,0,0,rest,
73,1,1,04/30/2024 14:51:19,1080.020,1080.020,0.0000,2.9141,0,0,0,0,0,0,0,0,rest,
74,1,1,04/30/2024 14:51:34,1095.020,1095.020,0.0000,2.9139,0,0,0,0,0,0,0,0,rest,
75,1,1,04/30/2024 14:51:49,1110.020,1110.020,0.0000,2.9138,0,0,0,0,0,0,0,0,rest,
76,1,1,04/30/2024 14:52:04,1125.020,1125.020,0.0000,2.9137,0,0,0,0,0,0,0,0,rest,
77,1,1,04/30/2024 14:52:19,1140.020,1140.020,0.0000,2.9135,0,0,0,0,0,0,0,0,rest,
78,1,1,04/30/2024 14:52:34,1155.020,1155.020,0.0000,2.9134,0,0,0,0,0,0,0,0,rest,
79,1,1,04/30/2024 14:52:49,1170.020,1170.020,0.0000,2.9132,0,0,0,0,0,0,0,0,rest,
80,1,1,04/30/2024 14:53:04,1185.020,1185.020,0.0000,2.9131,0,0,0,0,0,0,0,0,rest,
81,1,1,04/30/2024 14:53:19,1200.020,1200.020,0.0000,2.9129,0,0,0,0,0,0,0,0,rest,
82,1,1,04/30/2024 14:53:34,1215.020,1215.020,0.0000,2.9128,0,0,0,0,0,0,0,0,rest,
83,1,1,04/30/2024 14:53:49,1230.020,1230.020,0.0000,2.9127,0,0,0,0,0,0,0,0,rest,
84,1,1,04/30/2024 14:54:04,1245.020,1245.020,0.0000,2.9125,0,0,0,0,0,0,0,0,rest,
85,1,1,04/30/2024 14:54:19,1260.020,1260.020,0.0000,2.9124,0,0,0,0,0,0,0,0,rest,
86,1,1,04/30/2024 14:54:34,1275.020,1275.020,0.0000,2.9122,0,0,0,0,0,0,0,0,rest,
87,1,1,04/30/2024 14:54:49,1290.020,1290.020,0.0000,2.9121,0,0,0,0,0,0,0,0,rest,
88,1,1,04/30/2024 14:55:04,1305.020,1305.020,0.0000,2.9119,0,0,0,0,0,0,0,0,rest,
89,1,1,04/30/2024 14:55:19,1320.020,1320.020,0.0000,2.9118,0,0,0,0,0,0,0,0,rest,
90,1,1,04/30/2024 14:55:34,1335.020,1335.020,0.0000,2.9116,0,0,0,0,0,0,0,0,rest,
91,1,1,04/30/2024 14:55:49,1350.020,1350.020,0.0000,2.9115,0,0,0,0,0,0,0,0,rest,
92,1,1,04/30/2024 14:56:04,1365.020,1365.020,0.0000,2.9113,0,0,0,0,0,0,0,0,rest,
93,1,1,04/30/2024 14:56:19,1380.020,1380.020,0.0000,2.9112,0,0,0,0,0,0,0,0,rest,
94,1,1,04/30/2024 14:56:34,1395.020,1395.020,0.0000,2.9110,0,0,0,0,0,0,0,0,rest,
95,1,1,04/30/2024 14:56:49,1410.020,1410.020,0.0000,2.9109,0,0,0,0,0,0,0,0,rest,
96,1,1,04/30/2024 14:57:04,1425.020,1425.020,0.0000,2.9107,0,0,0,0,0,0,0,0,rest,
97,1,1,04/30/2024 14:57:19,1440.020,1440.020,0.0000,2.9106,0,0,0,0,0,0,0,0,rest,
98,1,1,04/30/2024 14:57:34,1455.020,1455.020,0.0000,2.9104,0,0,0,0,0,0,0,0,rest,
99,1,1,04/30/2024 14:57:49,1470.020,1470.020,0.0000,2.9102,0,0,0,0,0,0,0,0,rest,
100,1,1,04/30/2024 14:58:04,1485.020,1485.020,0.0000,2.9101,0,0,0,0,0,0,0,0,rest,
