test_time_second,voltage_volt,current_ampere,cycle_count,step_id,step_time_second,net_capacity_ah,charging_energy_wh,discharging_energy_wh,net_energy_wh,power_watt,internal_resistance_ohm
0.0,3.1777189,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.00000047497451,3.1776795,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.00000094994903,3.1777189,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.00000142492354,3.1777189,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.00000189989805,3.1777978,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.00000237487257,3.1777978,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.00000284984708,3.1776402,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.00000332482159,3.1776402,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0000037997961,3.1777978,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90.00000427477062,3.1777189,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0000047497451,3.1777978,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0000052247196,3.1778371,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0000056996942,3.1778371,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0000061746687,3.1777978,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0000066496432,3.1778371,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0000071246177,3.1778765,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.0000075995922,3.1777978,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170.0000080745667,3.1777585,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0000085495412,3.1777585,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.0000090245157,3.1778765,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0000094994903,3.1778765,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210.0000099744648,3.1778371,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0000104494393,3.1778765,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230.0000109244138,3.1778371,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0000113993883,3.1779158,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250.0000118743628,3.1778765,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260.0000123493373,3.1779158,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270.0000128243119,3.1778765,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280.0000132992864,3.1778371,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290.0000137742609,3.1778371,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0000142492354,3.1778765,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310.0000147242099,3.1778371,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320.0000151991844,3.1779552,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330.0000156741589,3.1779158,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340.0000161491334,3.1778371,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350.000016624108,3.1779158,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360.0000170990825,3.1779945,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370.000017574057,3.1779552,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380.0000180490315,3.1779945,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390.000018524006,3.1779158,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0000189989805,3.1779945,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410.000019473955,3.1779552,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420.0000199489295,3.1779158,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430.0000204239041,3.1778765,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440.0000208988786,3.1779158,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
